"season_1","season_2","team_id","team_name","player_id","player_name","game_date","game_id","home_team","away_team","event_type","shot_made","action_type","shot_type","basic_zone","zone_name","zone_abb","zone_range","loc_x","loc_y","shot_distance","quarter","mins_left","secs_left"
2025,"2024-25","1610612737","Atlanta Hawks","1642258","Zaccharie Risacher","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","16.8","25.75","26",1,11,43
2025,"2024-25","1610612737","Atlanta Hawks","1630552","Jalen Johnson","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Driving Floating Bank Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","8-16 ft.","13.6","5.15","13",1,11,38
2025,"2024-25","1610612737","Atlanta Hawks","1630552","Jalen Johnson","11-12-2024","22400001","BOS","ATL","Made Shot",True,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-15.7","25.55","25",1,10,50
2025,"2024-25","1610612737","Atlanta Hawks","1630811","Keaton Wallace","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","17.6","23.65","25",1,9,47
2025,"2024-25","1610612737","Atlanta Hawks","203991","Clint Capela","11-12-2024","22400001","BOS","ATL","Made Shot",True,"Putback Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","2.5","6.05","2",1,9,44
2025,"2024-25","1610612737","Atlanta Hawks","1642258","Zaccharie Risacher","11-12-2024","22400001","BOS","ATL","Made Shot",True,"Cutting Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-1","6.55","1",1,9,23
2025,"2024-25","1610612737","Atlanta Hawks","1642258","Zaccharie Risacher","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Floating Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","8-16 ft.","-5.3","16.35","12",1,8,50
2025,"2024-25","1610612737","Atlanta Hawks","1642258","Zaccharie Risacher","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Putback Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","1","6.95","1",1,8,47
2025,"2024-25","1610612737","Atlanta Hawks","1642258","Zaccharie Risacher","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Tip Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","1","5.35","1",1,8,46
2025,"2024-25","1610612737","Atlanta Hawks","1642258","Zaccharie Risacher","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Tip Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",1,8,43
2025,"2024-25","1610612737","Atlanta Hawks","1630552","Jalen Johnson","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-16.8","27.95","28",1,8,29
2025,"2024-25","1610612737","Atlanta Hawks","203991","Clint Capela","11-12-2024","22400001","BOS","ATL","Made Shot",True,"Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-0.9","6.55","1",1,8,5
2025,"2024-25","1610612737","Atlanta Hawks","1642258","Zaccharie Risacher","11-12-2024","22400001","BOS","ATL","Made Shot",True,"Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","2.1","6.75","2",1,7,2
2025,"2024-25","1610612737","Atlanta Hawks","1630700","Dyson Daniels","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-0.9","6.05","1",1,6,21
2025,"2024-25","1610612737","Atlanta Hawks","203991","Clint Capela","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Putback Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-3.2","6.95","3",1,6,20
2025,"2024-25","1610612737","Atlanta Hawks","203991","Clint Capela","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Tip Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",1,6,19
2025,"2024-25","1610612737","Atlanta Hawks","1629726","Garrison Mathews","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-14.2","26.75","25",1,5,36
2025,"2024-25","1610612737","Atlanta Hawks","1630700","Dyson Daniels","11-12-2024","22400001","BOS","ATL","Made Shot",True,"Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","5","7.85","5",1,5,17
2025,"2024-25","1610612737","Atlanta Hawks","1630700","Dyson Daniels","11-12-2024","22400001","BOS","ATL","Made Shot",True,"Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","8-16 ft.","-1.6","13.55","8",1,4,39
2025,"2024-25","1610612737","Atlanta Hawks","1626204","Larry Nance Jr.","11-12-2024","22400001","BOS","ATL","Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-18.1","23.65","25",1,4,11
2025,"2024-25","1610612737","Atlanta Hawks","1630552","Jalen Johnson","11-12-2024","22400001","BOS","ATL","Made Shot",True,"Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","-4","7.65","4",1,3,37
2025,"2024-25","1610612737","Atlanta Hawks","1626204","Larry Nance Jr.","11-12-2024","22400001","BOS","ATL","Made Shot",True,"Cutting Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-1.6","7.75","2",1,3,13
